"Years",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Fullerene",0.005008839127872717,0.010017678255745434,0.012374779021803181,0.015910430170889805,0.023865645256334708,0.03270477312905127,0.0427224513847967,0.05686505598114319,0.06423099587507367,0.0774896876841485,0.10459634649381261,0.11520329994107248,0.14319387153800825,0.145550972304066,0.1502651738361815
"Carbide Der. Carb.",0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.08955223880597014,0.13432835820895522,0.08955223880597014,0.2537313432835821,0.417910447761194
"Graphite",0.021608535819958755,0.032905944588899845,0.0399892405630772,0.04483098717833767,0.053886846588361875,0.0643772975880929,0.07271586120326369,0.07764726979288084,0.07710929794674079,0.08123374876714785,0.08625481933112167,0.08777907289518515,0.08706177710033175,0.08607549538240832,0.08652380525419169
"Act.Carb.",0.011560693641618497,0.026837324525185797,0.02601156069364162,0.033856317093311314,0.031791907514450865,0.03550784475639967,0.03633360858794385,0.04252683732452518,0.05326176713459951,0.056564822460776217,0.09702725020644096,0.10445912469033856,0.16308835672997524,0.13666391412056153,0.14450867052023122
"Carb. Black",0.021730382293762576,0.03561368209255533,0.04084507042253521,0.04416498993963783,0.049899396378269616,0.05311871227364185,0.06227364185110664,0.06851106639839034,0.0744466800804829,0.07354124748490945,0.09627766599597586,0.09798792756539236,0.09748490945674045,0.08843058350100604,0.09567404426559356
"Nanodiamond",0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.02247191011235955,0.033707865168539325,0.07865168539325842,0.07865168539325842,0.15730337078651685,0.16853932584269662,0.21348314606741572,0.23595505617977527
"Graphene",0.0021121802393804273,0.005397793945083313,0.0070406007979347575,0.0070406007979347575,0.00985684111710866,0.012907768129547055,0.017132128608307907,0.01854024876789486,0.027693029805210045,0.03379488383008684,0.06735508096690918,0.13095517484158647,0.20558554329969492,0.22811546585308612,0.2264726590002347
"Aerogel",0.02021772939346812,0.02021772939346812,0.015552099533437015,0.027993779160186624,0.029548989113530325,0.04354587869362364,0.03576982892690513,0.04043545878693624,0.04354587869362364,0.04665629860031104,0.05909797822706065,0.09642301710730948,0.11353032659409021,0.17418351477449456,0.2332814930015552
"CNTs",0.004945598417408506,0.007665677546983185,0.010880316518298714,0.019658753709198812,0.027818991097922848,0.04043026706231454,0.04562314540059347,0.06701285855588526,0.08642433234421365,0.09013353115727003,0.12030168150346192,0.12042532146389713,0.11894164193867458,0.11955984174085064,0.1201780415430267
"Nano-onion",0.15789473684210525,0.15789473684210525,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.21052631578947367
